Query	Document_ID	Rank	Similarity
1	00533	1	22.98148727416992
1	00957	2	19.13421058654785
1	00741	3	18.57883071899414
1	00827	4	18.423274993896484
1	00484	5	18.32161521911621
1	00437	6	17.706195831298828
1	01201	7	17.675249099731445
1	00960	8	17.606779098510742
1	00754	9	17.19235610961914
1	01185	10	17.159725189208984
1	01107	11	17.038219451904297
1	00499	12	17.004417419433594
1	00501	13	16.86317253112793
1	00139	14	16.837282180786133
1	00147	15	16.81490707397461
1	00052	16	16.710186004638672
1	01167	17	16.66818618774414
1	00742	18	16.49820899963379
1	00867	19	16.438325881958008
1	00568	20	16.4322566986084
1	00564	21	16.229097366333008
1	00265	22	16.223833084106445
1	00441	23	16.104631423950195
1	01145	24	16.01839256286621
1	00967	25	16.014558792114258
1	00246	26	16.002769470214844
1	00975	27	15.8841552734375
1	00527	28	15.745061874389648
1	00505	29	15.717493057250977
1	00151	30	15.660232543945312
1	00559	31	15.631549835205078
1	00481	32	15.622989654541016
1	00451	33	15.532124519348145
1	00636	34	15.50258445739746
1	01207	35	15.402515411376951
1	00189	36	15.387818336486816
1	00303	37	15.101712226867676
1	00496	38	15.078012466430664
1	00950	39	14.996760368347168
1	01175	40	14.994571685791016
1	00711	41	14.963047981262209
1	00201	42	14.945573806762695
1	00454	43	14.935522079467772
1	00011	44	14.872591018676758
1	01026	45	14.803282737731934
1	00526	46	14.792073249816896
1	00439	47	14.788800239562988
1	00302	48	14.62978744506836
1	00850	49	14.553744316101074
1	00690	50	14.483985900878906
1	01238	51	14.480688095092772
1	01125	52	14.460933685302734
1	00895	53	14.414485931396484
1	01171	54	14.366952896118164
1	00386	55	14.348306655883787
1	00901	56	14.287975311279297
1	00108	57	14.262699127197266
1	00878	58	14.262211799621582
1	00875	59	14.237041473388672
1	00589	60	14.234107971191406
1	00676	61	14.23224925994873
1	00912	62	14.21297836303711
1	00790	63	14.17965602874756
1	00392	64	14.169621467590332
1	00987	65	14.153118133544922
1	00982	66	14.137661933898926
1	00085	67	14.12388801574707
1	01156	68	14.110285758972168
1	01200	69	14.103693962097168
1	00588	70	14.084209442138672
1	00398	71	14.081218719482422
1	01019	72	14.032951354980469
1	01173	73	14.024606704711914
1	00466	74	14.00485134124756
1	01169	75	14.004609107971191
1	00648	76	13.99130630493164
1	00776	77	13.986357688903809
1	00988	78	13.977153778076172
1	01120	79	13.958917617797852
1	00461	80	13.951068878173828
1	00693	81	13.918201446533203
1	00382	82	13.901615142822266
1	00435	83	13.892086029052734
1	00562	84	13.840150833129885
1	00969	85	13.838685035705566
1	01016	86	13.815537452697754
1	01203	87	13.762077331542969
1	00592	88	13.741575241088867
1	01076	89	13.732986450195312
1	00543	90	13.663602828979492
1	00502	91	13.658320426940918
1	00288	92	13.65533447265625
1	00040	93	13.621454238891602
1	00541	94	13.606165885925291
1	00794	95	13.60419464111328
1	00190	96	13.522092819213867
1	00497	97	13.515847206115724
1	00055	98	13.510750770568848
1	01163	99	13.478800773620604
1	00205	100	13.47508430480957
2	00437	1	17.99710464477539
2	00754	2	17.545082092285156
2	00589	3	17.21832275390625
2	00592	4	17.051589965820312
2	00499	5	16.992456436157227
2	00151	6	16.626476287841797
2	01125	7	16.422927856445312
2	00912	8	16.085399627685547
2	01173	9	16.085371017456055
2	00498	10	15.990185737609863
2	00172	11	15.982184410095217
2	00265	12	15.953073501586914
2	00007	13	15.8304443359375
2	00980	14	15.788816452026367
2	00382	15	15.774083137512209
2	00301	16	15.772003173828123
2	00501	17	15.719490051269531
2	00956	18	15.680290222167969
2	01238	19	15.630030632019045
2	00451	20	15.536065101623535
2	00481	21	15.5177001953125
2	00533	22	15.51442527770996
2	00455	23	15.478032112121582
2	00790	24	15.476911544799805
2	01175	25	15.474061012268066
2	00733	26	15.375882148742676
2	00439	27	15.372665405273438
2	00441	28	15.293367385864258
2	00988	29	15.267374038696287
2	00755	30	15.25497817993164
2	01019	31	15.21811294555664
2	00867	32	15.17674160003662
2	01145	33	15.087275505065918
2	00805	34	15.07524871826172
2	01167	35	15.059408187866213
2	01170	36	15.057202339172363
2	00975	37	15.04333782196045
2	01185	38	15.031465530395508
2	00108	39	14.987896919250488
2	00189	40	14.944236755371094
2	00297	41	14.929180145263672
2	00588	42	14.920564651489258
2	01171	43	14.919182777404783
2	01207	44	14.90094757080078
2	00398	45	14.878170013427734
2	00333	46	14.838547706604004
2	00632	47	14.83729648590088
2	00901	48	14.82951545715332
2	00095	49	14.782880783081056
2	00559	50	14.780506134033203
2	00541	51	14.739834785461426
2	00860	52	14.692594528198242
2	00463	53	14.678765296936035
2	00895	54	14.662541389465332
2	00176	55	14.662349700927734
2	00502	56	14.649969100952148
2	00564	57	14.622641563415527
2	00904	58	14.586628913879396
2	00875	59	14.579330444335938
2	00788	60	14.578757286071776
2	00853	61	14.561081886291504
2	00969	62	14.508328437805176
2	00031	63	14.432975769042969
2	01169	64	14.426314353942873
2	00711	65	14.358201026916504
2	00201	66	14.332748413085938
2	00011	67	14.328685760498049
2	00466	68	14.296308517456056
2	00987	69	14.294106483459473
2	00475	70	14.292695999145508
2	00957	71	14.29235553741455
2	00173	72	14.272171020507812
2	00017	73	14.231826782226562
2	00767	74	14.229333877563477
2	00693	75	14.227664947509766
2	00658	76	14.224023818969728
2	01227	77	14.169784545898438
2	00989	78	14.167236328125
2	00424	79	14.160693168640137
2	00438	80	14.14259910583496
2	00505	81	14.117963790893556
2	00496	82	14.099576950073242
2	00358	83	14.084184646606444
2	00690	84	14.073034286499023
2	00137	85	14.062875747680664
2	00080	86	14.02953052520752
2	00511	87	14.019623756408691
2	00742	88	13.996078491210938
2	00246	89	13.959518432617188
2	00680	90	13.955845832824709
2	00374	91	13.953533172607422
2	00223	92	13.939001083374023
2	01016	93	13.929288864135742
2	00006	94	13.905387878417969
2	00563	95	13.897331237792969
2	00114	96	13.889147758483888
2	00205	97	13.858976364135742
2	00543	98	13.85301113128662
2	00982	99	13.842037200927734
2	01099	100	13.834222793579102
3	00633	1	23.696117401123047
3	01175	2	19.41476821899414
3	01206	3	18.617965698242188
3	00055	4	18.452167510986328
3	00856	5	18.43637466430664
3	00439	6	18.356983184814453
3	00956	7	18.05963134765625
3	00246	8	17.991283416748047
3	01238	9	17.582592010498047
3	00961	10	17.55291175842285
3	00959	11	17.522865295410156
3	01161	12	17.353778839111328
3	00875	13	17.33690643310547
3	00269	14	17.209251403808594
3	00118	15	17.130102157592773
3	00124	16	17.086545944213867
3	00536	17	17.083038330078125
3	00137	18	17.078474044799805
3	00139	19	17.07501792907715
3	00401	20	17.071903228759766
3	00680	21	17.000198364257812
3	00107	22	16.960527420043945
3	00535	23	16.922292709350586
3	01165	24	16.90439224243164
3	00375	25	16.854480743408203
3	00106	26	16.772586822509766
3	00852	27	16.754011154174805
3	00313	28	16.733062744140625
3	00585	29	16.705692291259766
3	00496	30	16.696823120117188
3	01117	31	16.657459259033203
3	00589	32	16.655302047729492
3	00150	33	16.648204803466797
3	00936	34	16.638471603393555
3	00710	35	16.595170974731445
3	00840	36	16.5474796295166
3	00765	37	16.512521743774414
3	00108	38	16.510324478149414
3	00320	39	16.489580154418945
3	01024	40	16.488924026489258
3	00786	41	16.457115173339844
3	00655	42	16.346006393432617
3	00307	43	16.32070541381836
3	01148	44	16.31707000732422
3	00425	45	16.309059143066406
3	00466	46	16.281389236450195
3	00441	47	16.23477554321289
3	00527	48	16.1956787109375
3	00023	49	16.195425033569336
3	00497	50	16.127866744995117
3	00526	51	16.125141143798828
3	00437	52	16.108373641967773
3	00147	53	16.101160049438477
3	00960	54	16.084978103637695
3	00853	55	16.024227142333984
3	01159	56	16.017322540283203
3	00748	57	15.97909927368164
3	00805	58	15.90225601196289
3	00140	59	15.87985610961914
3	00975	60	15.85390281677246
3	00904	61	15.850762367248535
3	00062	62	15.849860191345217
3	00525	63	15.827417373657228
3	00520	64	15.82729721069336
3	01146	65	15.815680503845217
3	01202	66	15.785815238952637
3	00766	67	15.759449005126951
3	01137	68	15.750935554504396
3	00565	69	15.72813320159912
3	00950	70	15.719175338745115
3	00404	71	15.694263458251951
3	00969	72	15.689204216003418
3	01157	73	15.68825912475586
3	01016	74	15.67361068725586
3	00754	75	15.627090454101562
3	00187	76	15.61561679840088
3	00561	77	15.593182563781738
3	01172	78	15.57666301727295
3	01181	79	15.572482109069824
3	00102	80	15.57143783569336
3	00973	81	15.567262649536133
3	00867	82	15.551386833190918
3	00151	83	15.52742862701416
3	00172	84	15.523808479309082
3	01171	85	15.519883155822754
3	01205	86	15.499497413635254
3	01170	87	15.47800636291504
3	01207	88	15.454466819763184
3	00702	89	15.445752143859863
3	00541	90	15.409050941467283
3	00647	91	15.394353866577148
3	00901	92	15.353556632995604
3	00989	93	15.34714698791504
3	01136	94	15.340797424316406
3	00336	95	15.329629898071287
3	00812	96	15.322738647460938
3	01173	97	15.321683883666992
3	00534	98	15.303974151611328
3	01142	99	15.300169944763184
3	00455	100	15.275681495666504
4	00604	1	21.444499969482425
4	00711	2	19.112064361572266
4	01039	3	19.02206802368164
4	00374	4	18.52587127685547
4	00023	5	18.33211898803711
4	00876	6	18.30447769165039
4	00536	7	17.64676284790039
4	00439	8	16.976762771606445
4	00928	9	16.84522819519043
4	01170	10	16.342117309570312
4	00347	11	15.8262939453125
4	01173	12	15.750179290771484
4	00265	13	15.683032989501951
4	01030	14	15.66571807861328
4	00187	15	15.589181900024414
4	00975	16	15.496030807495115
4	00497	17	15.436227798461914
4	00991	18	15.382548332214355
4	00820	19	15.357120513916016
4	00008	20	15.288751602172852
4	00461	21	15.26223087310791
4	00568	22	15.254704475402832
4	00498	23	15.237627029418944
4	00669	24	15.226558685302734
4	00441	25	15.21362590789795
4	00278	26	14.68620491027832
4	00758	27	14.68258571624756
4	00288	28	14.653932571411133
4	00716	29	14.523500442504885
4	00499	30	14.49836540222168
4	00875	31	14.45257568359375
4	00223	32	14.440336227416992
4	00980	33	14.42553424835205
4	00126	34	14.396685600280762
4	00725	35	14.388805389404297
4	01192	36	14.364178657531738
4	00867	37	14.342872619628906
4	00375	38	14.32194709777832
4	00614	39	14.3036527633667
4	00311	40	14.302988052368164
4	01019	41	14.289648056030272
4	00297	42	14.19604778289795
4	01171	43	14.063158988952637
4	00052	44	14.008795738220217
4	00571	45	13.987377166748049
4	00007	46	13.951525688171388
4	00559	47	13.944202423095703
4	00031	48	13.939648628234863
4	00574	49	13.911190032958984
4	00430	50	13.904705047607422
4	00011	51	13.896597862243652
4	00312	52	13.843976974487305
4	00269	53	13.843368530273438
4	00684	54	13.82589626312256
4	00401	55	13.793485641479492
4	00856	56	13.787684440612791
4	01172	57	13.786077499389648
4	00726	58	13.735358238220217
4	00912	59	13.7303466796875
4	00539	60	13.717000961303713
4	00110	61	13.71247100830078
4	00589	62	13.707130432128906
4	00190	63	13.700867652893066
4	00924	64	13.660109519958496
4	00988	65	13.646923065185549
4	00189	66	13.550933837890623
4	00243	67	13.536930084228516
4	01066	68	13.470062255859377
4	00662	69	13.448766708374023
4	00522	70	13.442970275878906
4	00493	71	13.40869140625
4	00148	72	13.38486099243164
4	00333	73	13.380370140075684
4	00860	74	13.295480728149414
4	01067	75	13.272116661071776
4	00520	76	13.270367622375488
4	00176	77	13.240466117858888
4	00527	78	13.234796524047852
4	01197	79	13.219298362731934
4	01157	80	13.175756454467772
4	00715	81	13.085304260253906
4	01175	82	13.074991226196287
4	00206	83	13.073202133178713
4	00471	84	13.055602073669434
4	00835	85	13.022809028625488
4	00496	86	12.998856544494627
4	00144	87	12.995800018310549
4	00292	88	12.99481201171875
4	00555	89	12.98523235321045
4	00118	90	12.980135917663574
4	00987	91	12.960541725158691
4	00495	92	12.898321151733398
4	00790	93	12.887340545654297
4	00538	94	12.886470794677734
4	01050	95	12.872159957885742
4	00554	96	12.866580963134766
4	00143	97	12.85360050201416
4	01168	98	12.85282039642334
4	00322	99	12.840816497802734
4	00964	100	12.784683227539062
5	00499	1	25.090103149414062
5	00776	2	24.5689697265625
5	00501	3	24.33831214904785
5	00711	4	23.51775360107422
5	00895	5	23.410572052001957
5	00754	6	22.99514961242676
5	01175	7	22.87792205810547
5	00568	8	22.822494506835938
5	00496	9	22.50571823120117
5	00151	10	22.423341751098636
5	01156	11	22.21757125854492
5	00441	12	21.84799575805664
5	00189	13	21.67928504943848
5	00437	14	21.506431579589844
5	00559	15	21.46814346313477
5	00690	16	21.41360282897949
5	00975	17	21.09143447875977
5	00867	18	21.000938415527344
5	00110	19	20.729755401611328
5	00856	20	20.68846702575684
5	01145	21	20.414936065673828
5	00924	22	19.94389915466309
5	00190	23	19.881074905395508
5	01192	24	19.86854553222656
5	00382	25	19.80593490600586
5	00691	26	19.796918869018555
5	00299	27	19.777891159057617
5	00140	28	19.737571716308597
5	00266	29	19.62150764465332
