,IDF
0,8.098375638590786
001p,7.405228458030842
0ronchial,7.405228458030842
0time,7.405228458030842
1,8.098375638590786
10,3.5875161320739366
100,4.766171128415583
1000,6.306616169362732
10000,6.488937726156687
1000000,8.098375638590786
100000150000,7.405228458030842
100000fold,7.405228458030842
1000fold,7.405228458030842
100fold,7.405228458030842
101,7.405228458030842
1010,7.405228458030842
1015,7.405228458030842
102,6.018934096910951
1021,7.405228458030842
1023,7.405228458030842
103,6.306616169362732
1031,7.405228458030842
1038,7.405228458030842
104,6.152465489535474
1047,7.405228458030842
105,6.7120812774708964
1054,7.405228458030842
106,6.7120812774708964
1060,7.405228458030842
1061,7.405228458030842
107,6.999763349922677
10722,7.405228458030842
108,6.152465489535474
10821,7.405228458030842
1088,7.405228458030842
109,7.405228458030842
1098,7.405228458030842
10fold,7.405228458030842
10minut,8.098375638590786
10th,7.405228458030842
10year,6.999763349922677
10yearold,7.405228458030842
11,4.664388434105641
110,6.488937726156687
1100,7.405228458030842
11000,6.488937726156687
110000,7.405228458030842
1100000,7.405228458030842
110013700,7.405228458030842
110phenanthrolin,8.098375638590786
111,6.7120812774708964
1113,7.405228458030842
111in,7.405228458030842
111inlabel,8.098375638590786
112,6.488937726156687
1122,7.405228458030842
113,6.488937726156687
1137,6.999763349922677
114,7.405228458030842
114ccholylglycin,8.098375638590786
115,7.405228458030842
11500,7.405228458030842
11524,7.405228458030842
115350,7.405228458030842
116,6.999763349922677
1169123175,7.405228458030842
117,6.306616169362732
117000,7.405228458030842
11787,7.405228458030842
118,7.405228458030842
11800,7.405228458030842
118300,7.405228458030842
119,6.488937726156687
11a,7.405228458030842
11s,7.405228458030842
11yearold,6.999763349922677
12,3.8642691339935276
120,6.306616169362732
12000,6.488937726156687
1205,7.405228458030842
121,6.999763349922677
1212,7.405228458030842
1216,7.405228458030842
122,6.999763349922677
123,6.999763349922677
1238,7.405228458030842
1239566,7.405228458030842
124,7.405228458030842
125,5.613468988802786
125ilabel,8.098375638590786
125itrypsin,7.405228458030842
125itrypsinalpha,7.405228458030842
126,6.7120812774708964
127,6.488937726156687
1272,7.405228458030842
127321,7.405228458030842
12751,7.405228458030842
127676,7.405228458030842
128,6.7120812774708964
129,7.405228458030842
13,4.360706020307418
130,7.405228458030842
13000,6.999763349922677
1302,7.405228458030842
131,7.405228458030842
131i,7.405228458030842
132,6.306616169362732
1322,7.405228458030842
133,6.488937726156687
1334,7.405228458030842
1345,7.405228458030842
1347,7.405228458030842
135,6.306616169362732
1350,7.405228458030842
13600,6.999763349922677
1366,7.405228458030842
137,6.7120812774708964
13700,7.405228458030842
138,7.405228458030842
13800,7.405228458030842
139,6.999763349922677
1393,7.405228458030842
13nitrogen,7.405228458030842
14,4.206555340480159
140,6.999763349922677
14000,7.405228458030842
140000,7.405228458030842
1401,7.405228458030842
141,7.405228458030842
1418,7.405228458030842
142,7.405228458030842
1424,7.405228458030842
1426,7.405228458030842
143,6.999763349922677
144,6.7120812774708964
1452,7.405228458030842
146,6.7120812774708964
148,6.999763349922677
148700,7.405228458030842
149,7.405228458030842
14c,6.7120812774708964
14cglucosamin,8.098375638590786
14clabel,8.098375638590786
14cmethyllabel,8.098375638590786
14co2,7.405228458030842
14cprofil,8.098375638590786
14cspermidin,8.098375638590786
14weekold,7.405228458030842
15,4.055324370756237
150,6.488937726156687
15000,7.405228458030842
150000,7.405228458030842
151,7.405228458030842
1519,7.405228458030842
152,7.405228458030842
1525,7.405228458030842
153,6.999763349922677
1533,7.405228458030842
154,7.405228458030842
157,7.405228458030842
15764,7.405228458030842
158,6.999763349922677
1585,8.098375638590786
159,6.999763349922677
15keto13,7.405228458030842
15yearold,7.405228458030842
15yr,7.405228458030842
16,4.227174627682896
160,6.7120812774708964
1614,7.405228458030842
162,7.405228458030842
16224,7.405228458030842
163,6.488937726156687
1642,7.405228458030842
165,6.999763349922677
1651,7.405228458030842
16577,7.405228458030842
166,6.488937726156687
167,6.7120812774708964
168,6.999763349922677
1683,7.405228458030842
169,6.999763349922677
16993,7.405228458030842
16wkold,7.405228458030842
16yearold,7.405228458030842
17,4.460789478864401
170,7.405228458030842
1700,7.405228458030842
17000,6.999763349922677
17033,7.405228458030842
171,6.999763349922677
1712yearold,7.405228458030842
172,7.405228458030842
1725,7.405228458030842
173,6.488937726156687
175,6.7120812774708964
176,6.999763349922677
177,6.488937726156687
178,7.405228458030842
1780,8.098375638590786
179,7.405228458030842
17991,7.405228458030842
17beta,7.405228458030842
18,4.166550005866461
180,6.488937726156687
18000,7.405228458030842
1801,7.405228458030842
181,7.405228458030842
182,6.7120812774708964
1822,7.405228458030842
183392,7.405228458030842
1840s,7.405228458030842
1850,7.405228458030842
1857,7.405228458030842
187,7.405228458030842
18th,7.405228458030842
19,4.766171128415583
190,7.405228458030842
1900,7.405228458030842
1905,7.405228458030842
1929,7.405228458030842
193,6.999763349922677
1930s,7.405228458030842
1938,6.999763349922677
1939,7.405228458030842
1940s,7.405228458030842
1946,7.405228458030842
194675,7.405228458030842
1950,7.405228458030842
1950s,7.405228458030842
1952,7.405228458030842
195217,7.405228458030842
1953,6.7120812774708964
1954,6.999763349922677
1955,7.405228458030842
1956,6.7120812774708964
1957,7.405228458030842
1958,6.999763349922677
196,7.405228458030842
1961,6.999763349922677
19611965,7.405228458030842
1962,6.999763349922677
1963,6.999763349922677
1964,6.999763349922677
1965,6.7120812774708964
19651971,7.405228458030842
1966,6.7120812774708964
19661972,7.405228458030842
1967,6.7120812774708964
1968,6.018934096910951
19681978,7.405228458030842
1969,6.488937726156687
196971,7.405228458030842
197,6.999763349922677
1970,6.999763349922677
1971,6.306616169362732
1972,5.795790545596741
1973,5.700480365792417
1974,6.152465489535474
19741976,7.405228458030842
1975,5.901151061254567
1976,6.152465489535474
1977,5.901151061254567
1978,6.488937726156687
1979,7.405228458030842
1982,6.999763349922677
1985,7.405228458030842
199,6.999763349922677
19a,7.405228458030842
19f,7.405228458030842
19fold,7.405228458030842
1acyl2n4nitrobenzo2oxa13diazoleaminocaproyl,7.405228458030842
1h,7.405228458030842
1hour,7.405228458030842
1sec,6.7120812774708964
1st,7.405228458030842
2,8.098375638590786
20,3.849880396541428
200,6.018934096910951
2000,6.018934096910951
200000,7.405228458030842
200fold,7.405228458030842
201,7.405228458030842
2016,7.405228458030842
202,7.405228458030842
2024,7.405228458030842
203,6.488937726156687
2030,7.405228458030842
2032,7.405228458030842
2035,7.405228458030842
204,6.488937726156687
205,7.405228458030842
2060,7.405228458030842
207,7.405228458030842
20x109,7.405228458030842
20year,7.405228458030842
21,4.962881422661637
2100,7.405228458030842
21000,8.098375638590786
212,6.488937726156687
2139,8.098375638590786
215,7.405228458030842
217,6.999763349922677
21yearold,6.999763349922677
22,4.962881422661637
221,6.999763349922677
223,6.999763349922677
22341,7.405228458030842
224,7.405228458030842
225,7.405228458030842
226,6.999763349922677
2281,7.405228458030842
229,7.405228458030842
2294,7.405228458030842
22yearold,6.999763349922677
23,5.208003880694622
231,7.405228458030842
23187,7.405228458030842
232,6.999763349922677
233,7.405228458030842
234,6.999763349922677
2362,7.405228458030842
238,7.405228458030842
239,7.405228458030842
23diphosphoglycer,8.098375638590786
23dpg,7.405228458030842
23f,7.405228458030842
24,4.601868077124307
240,6.7120812774708964
24000,7.405228458030842
242,7.405228458030842
2425dihydroxyvitamin,7.405228458030842
2425oh2d,7.405228458030842
24358,7.405228458030842
244,7.405228458030842
245,7.405228458030842
2472,7.405228458030842
248,7.405228458030842
24h,7.405228458030842
24hour,7.405228458030842
24hr,7.405228458030842
24na,7.405228458030842
24yearold,7.405228458030842
25,4.384803571886479
250,6.488937726156687
2500,6.488937726156687
25100,7.405228458030842
253,6.999763349922677
2537,7.405228458030842
254,7.405228458030842
2548,7.405228458030842
257,6.999763349922677
25971,7.405228458030842
25hydroxycholecalciferol,7.405228458030842
