word,Information
0,"[['00725', 1, [104]], ['00665', 2, [31, 60]], ['00577', 1, [95]], ['01014', 1, [52]], ['00383', 1, [18]], ['00074', 1, [15]]]"
001p,"[['01016', 1, [89]]]"
0ronchial,"[['00211', 1, [40]]]"
0time,"[['01201', 1, [99]]]"
1,"[['00097', 1, [27]], ['00858', 1, [64]], ['00358', 2, [100, 104]], ['00746', 1, [95]], ['00408', 1, [20]], ['00094', 1, [28]], ['00980', 1, [9]], ['00144', 1, [103]], ['00037', 1, [52]], ['00952', 2, [41, 44]], ['00458', 1, [97]], ['01156', 2, [16, 50]], ['00003', 1, [58]], ['01110', 2, [89, 107]], ['00879', 2, [46, 79]], ['00007', 1, [30]], ['01066', 2, [50, 57]], ['00314', 2, [141, 146]], ['01119', 1, [76]], ['00045', 1, [19]], ['01221', 2, [25, 34]], ['00054', 1, [27]], ['00597', 1, [59]], ['00378', 1, [20]], ['00176', 2, [49, 65]], ['00466', 2, [23, 56]], ['00023', 1, [5]], ['01239', 1, [59]], ['00043', 1, [11]], ['00722', 1, [18]], ['00192', 1, [48]], ['00178', 2, [64, 90]], ['00337', 1, [50]], ['00987', 1, [73]], ['00013', 1, [32]], ['00228', 3, [18, 38, 52]], ['00969', 1, [74]], ['00910', 1, [36]], ['00385', 1, [53]], ['01082', 1, [9]], ['01197', 1, [189]], ['00882', 1, [48]], ['00703', 3, [46, 52, 152]], ['00804', 1, [96]], ['00375', 3, [62, 116, 156]], ['00229', 1, [32]], ['01139', 2, [35, 155]], ['00842', 1, [45]], ['00922', 2, [17, 96]], ['00225', 1, [73]], ['00485', 2, [41, 48]], ['00308', 1, [61]], ['00534', 1, [65]], ['00367', 2, [32, 71]], ['00967', 1, [85]], ['00070', 1, [23]], ['00677', 3, [116, 128, 130]], ['01216', 2, [33, 58]], ['01217', 1, [66]], ['00478', 1, [14]], ['00913', 3, [45, 52, 65]], ['00725', 6, [34, 44, 67, 84, 101, 125]], ['00542', 1, [93]], ['01173', 1, [40]], ['01099', 2, [21, 58]], ['00831', 3, [49, 55, 63]], ['00279', 1, [65]], ['00773', 1, [31]], ['00421', 2, [32, 96]], ['00134', 1, [49]], ['01003', 1, [24]], ['01213', 1, [23]], ['00233', 2, [30, 34]], ['00210', 1, [13]], ['00008', 3, [19, 68, 139]], ['00006', 2, [35, 87]], ['00529', 1, [83]], ['00678', 2, [101, 105]], ['00467', 1, [66]], ['00887', 1, [33]], ['00251', 1, [20]], ['00152', 1, [59]], ['00988', 2, [61, 100]], ['00892', 4, [45, 55, 75, 181]], ['00774', 1, [18]], ['00226', 2, [16, 25]], ['00150', 1, [108]], ['00738', 1, [96]], ['00951', 3, [31, 91, 95]], ['00511', 1, [7]], ['00866', 1, [124]], ['00417', 1, [61]], ['00445', 1, [64]], ['00174', 1, [46]], ['00392', 3, [8, 67, 69]], ['00076', 1, [45]], ['00844', 1, [111]], ['01091', 1, [77]], ['00365', 1, [32]], ['00587', 2, [42, 88]], ['00260', 2, [82, 87]], ['00436', 1, [46]], ['00205', 1, [73]], ['00298', 2, [42, 57]], ['00050', 1, [32]], ['01200', 1, [140]], ['00523', 1, [65]], ['00694', 3, [71, 73, 85]], ['00737', 1, [54]], ['00790', 2, [61, 71]], ['01211', 1, [52]], ['00072', 1, [12]], ['00259', 1, [178]], ['00452', 1, [18]], ['01105', 2, [30, 43]], ['00293', 1, [63]], ['00325', 1, [84]], ['00243', 1, [20]], ['01064', 1, [14]], ['00653', 1, [28]], ['01237', 1, [124]], ['00955', 1, [49]], ['01051', 3, [45, 56, 70]], ['00183', 1, [24]], ['00264', 2, [8, 26]], ['00141', 3, [35, 108, 117]], ['00301', 1, [52]], ['00674', 1, [85]], ['00753', 1, [88]], ['00179', 3, [41, 64, 82]], ['00607', 1, [101]], ['00986', 1, [76]], ['00118', 1, [116]], ['00304', 2, [52, 85]], ['01124', 1, [53]], ['01034', 1, [77]], ['00291', 1, [20]], ['00769', 1, [60]], ['01222', 1, [53]], ['00181', 1, [37]], ['00521', 1, [154]], ['01071', 3, [43, 55, 88]], ['00422', 2, [56, 70]], ['00195', 2, [52, 85]], ['01085', 2, [71, 72]], ['00565', 1, [115]], ['00758', 3, [42, 47, 69]], ['00766', 2, [53, 55]], ['00540', 2, [15, 24]], ['00563', 1, [121]], ['00066', 1, [72]], ['01016', 1, [91]], ['00717', 1, [56]], ['00622', 1, [120]], ['01059', 1, [73]], ['00453', 1, [76]], ['00180', 2, [24, 31]], ['00261', 1, [88]], ['00236', 1, [33]], ['01039', 1, [88]], ['01028', 1, [11]], ['00528', 2, [12, 74]], ['00490', 1, [46]], ['00272', 1, [18]], ['00634', 3, [21, 50, 75]], ['01149', 3, [74, 97, 191]], ['00322', 1, [40]], ['00009', 1, [36]], ['01075', 2, [73, 78]], ['00865', 2, [15, 48]], ['00716', 2, [55, 66]], ['01096', 3, [4, 21, 50]], ['01104', 1, [39]], ['00190', 1, [50]], ['01194', 1, [34]], ['00898', 2, [41, 59]], ['00356', 1, [91]], ['00546', 2, [40, 53]], ['00816', 1, [99]], ['00509', 1, [76]], ['00015', 1, [24]], ['00324', 1, [12]], ['00599', 2, [30, 41]], ['00069', 2, [10, 89]], ['00235', 1, [166]], ['00330', 1, [20]], ['00256', 1, [69]], ['00998', 2, [58, 67]], ['00048', 1, [113]], ['01118', 1, [31]], ['00001', 1, [61]], ['00216', 1, [75]], ['01209', 1, [41]], ['01171', 1, [75]], ['01146', 1, [49]], ['00038', 1, [41]], ['00137', 1, [30]], ['00125', 1, [101]], ['00411', 2, [88, 122]], ['01042', 1, [112]], ['00135', 1, [89]], ['00349', 1, [32]], ['01188', 1, [48]], ['00103', 2, [62, 65]], ['00786', 1, [60]], ['00104', 2, [32, 63]], ['00526', 1, [22]], ['00121', 1, [70]], ['00087', 1, [42]], ['01010', 1, [51]], ['00193', 2, [70, 79]], ['00710', 1, [59]], ['00275', 1, [49]], ['00488', 2, [15, 28]], ['00123', 1, [74]], ['00514', 2, [28, 37]], ['00815', 1, [66]], ['00086', 1, [129]], ['01219', 1, [12]], ['00978', 4, [48, 94, 123, 130]], ['00807', 1, [75]], ['01090', 1, [87]], ['00107', 1, [67]], ['00598', 1, [42]], ['00571', 2, [11, 72]], ['00994', 1, [45]], ['00600', 1, [23]], ['01045', 1, [72]], ['00610', 1, [58]], ['00873', 2, [23, 29]], ['00442', 1, [90]], ['00961', 2, [33, 108]], ['01097', 1, [21]], ['00742', 1, [64]], ['01227', 1, [84]], ['00808', 1, [38]], ['00541', 1, [67]], ['01081', 1, [37]], ['00383', 1, [30]], ['00472', 1, [29]], ['00380', 3, [31, 41, 45]], ['00673', 1, [112]], ['01142', 1, [51]], ['00553', 2, [59, 143]], ['01169', 2, [44, 77]], ['00222', 1, [19]], ['01078', 2, [51, 59]], ['00080', 1, [57]], ['01038', 2, [65, 144]], ['00473', 2, [38, 70]], ['00618', 2, [20, 34]], ['00953', 1, [41]], ['00379', 1, [33]], ['00477', 1, [20]], ['00430', 2, [12, 19]], ['00881', 1, [18]], ['00224', 1, [114]], ['00056', 1, [14]], ['00960', 1, [62]], ['00679', 2, [14, 78]], ['00396', 1, [27]], ['00735', 1, [13]], ['01083', 1, [104]], ['00209', 1, [40]], ['00777', 1, [42]], ['00065', 2, [80, 102]], ['00983', 2, [51, 57]], ['01157', 1, [73]], ['00047', 3, [17, 44, 79]], ['00549', 1, [41]], ['00776', 1, [51]], ['01150', 2, [28, 61]], ['00863', 1, [35]], ['01215', 2, [18, 29]], ['00159', 1, [67]], ['01154', 2, [23, 53]], ['00651', 1, [39]], ['01151', 1, [94]], ['00505', 1, [129]], ['01201', 1, [82]], ['00459', 1, [40]], ['00647', 1, [36]], ['00063', 1, [57]], ['00770', 1, [16]], ['00366', 1, [33]], ['00915', 1, [23]], ['00588', 1, [85]], ['00120', 1, [53]], ['00655', 2, [46, 56]], ['01121', 2, [94, 131]], ['00631', 1, [21]], ['00855', 1, [32]], ['01094', 1, [14]], ['00061', 1, [37]], ['00108', 1, [46]], ['00744', 1, [37]], ['01006', 1, [81]], ['00026', 1, [32]], ['00022', 1, [21]], ['00348', 1, [39]], ['00852', 1, [50]], ['00532', 1, [13]], ['01012', 1, [17]], ['00041', 1, [61]], ['00870', 1, [48]], ['00956', 1, [140]], ['00345', 1, [55]], ['00188', 1, [90]], ['00522', 2, [167, 179]], ['00093', 1, [83]], ['01050', 1, [9]], ['00982', 1, [26]], ['00333', 2, [35, 184]], ['01120', 4, [50, 55, 216, 261]], ['00874', 1, [48]], ['00630', 1, [9]], ['00377', 3, [55, 78, 88]], ['01048', 2, [31, 55]], ['00544', 1, [46]], ['01040', 2, [1, 38]], ['00550', 2, [97, 119]], ['00905', 1, [27]], ['00002', 2, [54, 63]], ['00608', 1, [45]], ['01117', 1, [59]], ['00424', 1, [54]], ['00519', 2, [42, 51]], ['00941', 1, [14]], ['00901', 3, [48, 51, 99]], ['00586', 1, [25]], ['00690', 1, [71]], ['00667', 2, [162, 171]], ['00074', 1, [33]], ['00189', 1, [71]], ['00360', 1, [10]], ['00733', 1, [60]], ['00682', 1, [29]], ['00266', 2, [45, 87]], ['00719', 1, [94]], ['00864', 3, [28, 41, 50]], ['00696', 1, [76]], ['00743', 1, [74]], ['00745', 1, [137]], ['01143', 1, [73]], ['00914', 4, [11, 23, 33, 44]], ['00306', 4, [102, 108, 116, 132]], ['00109', 2, [61, 67]], ['00434', 1, [13]], ['01168', 2, [34, 44]], ['00768', 1, [11]], ['00803', 1, [128]], ['00896', 3, [31, 76, 102]], ['00297', 2, [53, 102]], ['00294', 1, [62]], ['00039', 1, [58]], ['00684', 1, [31]], ['01098', 1, [22]], ['00736', 1, [62]], ['00556', 1, [64]], ['00474', 1, [43]], ['00687', 1, [32]], ['00232', 1, [53]], ['00993', 5, [65, 77, 97, 118, 124]], ['00714', 1, [93]], ['01160', 1, [6]], ['00267', 1, [18]], ['00584', 4, [37, 48, 62, 64]], ['00168', 1, [21]], ['00355', 1, [79]], ['01185', 1, [77]]]"
10,"[['01210', 1, [43]], ['00314', 2, [10, 44]], ['01221', 1, [61]], ['00310', 1, [90]], ['00054', 1, [31]], ['00320', 1, [16]], ['00722', 1, [53]], ['00987', 1, [31]], ['00277', 1, [44]], ['01197', 2, [51, 69]], ['00703', 1, [26]], ['00804', 1, [105]], ['01144', 1, [28]], ['00495', 2, [51, 53]], ['00725', 2, [83, 121]], ['00215', 1, [89]], ['01232', 1, [61]], ['01003', 1, [49]], ['01213', 2, [8, 16]], ['00280', 1, [76]], ['01007', 1, [20]], ['00008', 1, [134]], ['00251', 2, [9, 22]], ['00927', 1, [37]], ['01101', 1, [6]], ['00892', 1, [76]], ['00649', 1, [14]], ['00951', 1, [82]], ['00417', 1, [47]], ['00660', 1, [86]], ['00616', 1, [31]], ['01091', 2, [74, 158]], ['00732', 1, [7]], ['00924', 1, [34]], ['01200', 3, [56, 73, 86]], ['00401', 1, [66]], ['00293', 1, [74]], ['00079', 1, [6]], ['01064', 1, [38]], ['00930', 1, [55]], ['01051', 1, [90]], ['00253', 2, [66, 98]], ['01208', 1, [31]], ['00753', 1, [50]], ['00607', 1, [131]], ['01132', 1, [14]], ['01124', 1, [45]], ['00422', 1, [32]], ['00766', 1, [79]], ['01016', 1, [127]], ['00344', 1, [39]], ['00029', 3, [17, 21, 34]], ['00528', 1, [63]], ['00272', 1, [111]], ['00286', 1, [18]], ['00005', 1, [28]], ['01129', 1, [52]], ['00235', 2, [96, 97]], ['00330', 1, [21]], ['00998', 1, [43]], ['00526', 1, [32]], ['00123', 1, [80]], ['00086', 2, [109, 131]], ['00036', 1, [43]], ['00989', 1, [142]], ['01223', 1, [11]], ['00520', 1, [32]], ['01097', 1, [9]], ['01227', 1, [95]], ['00238', 1, [39]], ['01067', 1, [100]], ['01081', 2, [20, 29]], ['00092', 1, [18]], ['01112', 1, [123]], ['00813', 1, [55]], ['01078', 1, [31]], ['01011', 1, [2]], ['01038', 1, [148]], ['00473', 1, [97]], ['00224', 1, [76]], ['00170', 1, [24]], ['00543', 3, [46, 87, 96]], ['01207', 2, [57, 123]], ['01130', 1, [38]], ['01215', 1, [44]], ['00159', 1, [35]], ['00711', 1, [13]], ['01046', 1, [26]], ['00588', 2, [15, 105]], ['00855', 1, [50]], ['01006', 1, [31]], ['00302', 1, [50]], ['00956', 1, [54]], ['00345', 1, [119]], ['00522', 2, [128, 137]], ['00333', 1, [51]], ['01120', 1, [120]], ['01048', 1, [8]], ['00544', 2, [22, 24]], ['00055', 1, [18]], ['00002', 1, [61]], ['00074', 1, [30]], ['00234', 1, [35]], ['00733', 1, [74]], ['00696', 1, [77]], ['00803', 1, [105]], ['00294', 1, [40]], ['00629', 1, [70]], ['00594', 1, [35]], ['00993', 1, [26]], ['00130', 1, [31]]]"
100,"[['00097', 1, [58]], ['00144', 1, [144]], ['00054', 1, [29]], ['01199', 1, [121]], ['00178', 1, [35]], ['00308', 1, [45]], ['00650', 1, [14]], ['00686', 1, [104]], ['00878', 1, [42]], ['01200', 1, [69]], ['00319', 1, [76]], ['01124', 1, [46]], ['00291', 1, [57]], ['00563', 1, [84]], ['00976', 1, [6]], ['01209', 1, [11]], ['01042', 2, [46, 51]], ['00825', 1, [47]], ['01014', 1, [73]], ['00238', 2, [31, 65]], ['00992', 1, [15]], ['00646', 1, [114]], ['01038', 1, [20]], ['01021', 2, [15, 52]], ['00388', 1, [21]], ['00630', 1, [10]], ['00608', 1, [82]], ['00617', 1, [101]], ['00747', 1, [51]]]"
1000,"[['00572', 1, [62]], ['01082', 1, [10]], ['01014', 1, [32]], ['00748', 1, [36]], ['00234', 1, [37]], ['00719', 1, [96]]]"
10000,"[['00572', 1, [63]], ['00444', 1, [39]], ['00573', 1, [136]], ['00748', 1, [34]]]"
1000000,"[['00984', 3, [26, 28, 33]], ['00617', 1, [38]]]"
