word,Information
1,"[[2, 1]]"
a,"[[9, 1]]"
abnorm,"[[5, 1], [12, 1]]"
acid,"[[12, 1], [20, 1]]"
after,"[[16, 1]]"
agent,"[[6, 1]]"
amino,"[[12, 1]]"
and,"[[2, 1], [8, 1], [9, 1], [11, 1], [16, 1]]"
are,"[[1, 1], [3, 1], [7, 1], [13, 1], [15, 1], [16, 1]]"
as,"[[7, 1]]"
associ,"[[9, 1]]"
be,"[[14, 1]]"
been,"[[8, 1], [12, 1], [19, 1]]"
benefit,"[[18, 1]]"
between,"[[2, 1], [8, 1], [9, 1], [11, 1]]"
bile,"[[18, 1]]"
biochem,"[[13, 1]]"
bowel,"[[12, 1]]"
bronchial,"[[6, 1]]"
calcium,"[[1, 1]]"
can,"[[2, 1], [14, 1]]"
cf,"[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [8, 1], [9, 1], [10, 1], [12, 1], [13, 1], [14, 1], [15, 1], [16, 1], [17, 1], [18, 1], [19, 1], [20, 1]]"
cirrhosi,"[[9, 1]]"
clinic,"[[13, 1]]"
compar,"[[7, 1]]"
complic,"[[15, 1], [16, 1], [19, 1]]"
composit,"[[4, 1]]"
degrad,"[[7, 1]]"
describ,"[[8, 1], [12, 1]]"
dietari,"[[18, 1]]"
differ,"[[3, 1], [7, 1], [8, 1], [11, 1]]"
diseas,"[[9, 1], [16, 1]]"
distinguish,"[[2, 1]]"
e,"[[10, 1]]"
effect,"[[1, 1], [2, 1], [6, 1], [17, 1], [20, 1]]"
elast,"[[6, 1]]"
enzym,"[[17, 1], [19, 1]]"
epithelia,"[[8, 1]]"
essenti,"[[20, 1]]"
evalu,"[[14, 1]]"
exclud,"[[16, 1]]"
exocrin,"[[14, 1]]"
fatti,"[[20, 1]]"
featur,"[[13, 1]]"
for,"[[14, 1], [17, 1]]"
from,"[[1, 1], [3, 2], [6, 1], [7, 1]]"
function,"[[14, 1]]"
gastrointestin,"[[16, 1]]"
gland,"[[2, 1]]"
glycoprotein,"[[3, 1], [7, 1]]"
have,"[[8, 1], [12, 1], [19, 1]]"
hepat,"[[15, 1]]"
histochem,"[[8, 1]]"
how,"[[3, 1]]"
hypersecret,"[[2, 1]]"
ileus,"[[11, 1], [16, 1]]"
in,"[[2, 1], [7, 1], [9, 1], [10, 1], [12, 1], [13, 1], [14, 1], [17, 1], [19, 1]]"
infect,"[[2, 1]]"
is,"[[4, 1], [5, 1], [6, 1], [9, 1], [10, 1], [11, 1], [17, 1], [18, 1], [20, 1]]"
lipid,"[[4, 1]]"
liver,"[[9, 1], [16, 1]]"
manifest,"[[15, 1]]"
meconium,"[[11, 2], [16, 1]]"
metabol,"[[9, 1]]"
most,"[[17, 1]]"
mucus,"[[1, 1], [2, 1], [5, 1], [7, 1]]"
neonat,"[[16, 1]]"
non-invas,"[[14, 1]]"
normal,"[[3, 1], [7, 1], [8, 1]]"
of,"[[1, 2], [2, 2], [3, 1], [4, 1], [6, 2], [10, 2], [12, 2], [13, 1], [14, 1], [15, 1], [16, 1], [17, 2], [18, 1], [19, 1], [20, 2]]"
on,"[[1, 1], [2, 1], [6, 1]]"
or,"[[6, 2], [13, 1], [15, 1]]"
other,"[[6, 1]]"
pancreat,"[[13, 1], [14, 1], [17, 1], [19, 1]]"
patient,"[[1, 1], [3, 1], [6, 1], [7, 1], [10, 1], [12, 1], [13, 1], [14, 1], [17, 1], [18, 1], [19, 1], [20, 1]]"
perform,"[[14, 1]]"
period,"[[16, 1]]"
physic,"[[1, 1], [6, 1]]"
plug,"[[11, 1]]"
properti,"[[1, 1], [6, 1]]"
regimen,"[[17, 1]]"
report,"[[19, 1]]"
respiratori,"[[2, 1], [4, 1], [8, 1]]"
role,"[[10, 1]]"
salivari,"[[3, 1]]"
salt,"[[18, 1]]"
secret,"[[4, 1], [6, 1]]"
small,"[[12, 1]]"
sputum,"[[6, 1]]"
subject,"[[3, 1], [7, 1]]"
submucos,"[[2, 1]]"
supplement,"[[17, 1], [18, 1], [20, 1]]"
syndrom,"[[11, 1]]"
test,"[[14, 1]]"
the,"[[1, 2], [2, 3], [4, 1], [6, 2], [9, 1], [10, 2], [11, 1], [12, 1], [13, 1], [14, 1], [15, 1], [16, 2], [17, 3], [20, 1]]"
therapeut,"[[6, 1], [18, 1]]"
therapi,"[[10, 1], [19, 1]]"
those,"[[3, 1], [7, 1]]"
to,"[[7, 1], [18, 1]]"
tract,"[[2, 1]]"
transport,"[[12, 1]]"
treatment,"[[17, 1], [20, 1]]"
use,"[[17, 1]]"
viscos,"[[6, 1]]"
vitamin,"[[9, 1], [10, 1]]"
water,"[[6, 1]]"
what,"[[1, 1], [4, 1], [6, 1], [8, 1], [9, 1], [10, 1], [11, 1], [12, 1], [13, 1], [14, 1], [15, 1], [16, 1], [17, 1], [19, 1], [20, 1]]"
with,"[[10, 1], [14, 1], [18, 1], [20, 1]]"
